file_path,file_name,file_type,category
01 - Drawings\Architectural & Structural\A-0.1H - PHASING PLAN.pdf,A-0.1H - PHASING PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.2H - CODE STUDY GROUND AND FIRST FLOOR.pdf,A-0.2H - CODE STUDY GROUND AND FIRST FLOOR.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.3H - CODE STUDY SECOND FLOOR.pdf,A-0.3H - CODE STUDY SECOND FLOOR.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.4H - SELECTIVE DEMOLITION PLAN.pdf,A-0.4H - SELECTIVE DEMOLITION PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.5 - OVERALL PLAN FIRST FLOOR.pdf,A-0.5 - OVERALL PLAN FIRST FLOOR.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.6 - OVERALL PLAN SECOND FLOOR.pdf,A-0.6 - OVERALL PLAN SECOND FLOOR.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-0.8 - ACOUSTICAL ATTENUATION DIAGRAMS.pdf,A-0.8 - ACOUSTICAL ATTENUATION DIAGRAMS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.1 - PARTIAL FIRST FLOOR PLAN AREA A.pdf,A-1.1 - PARTIAL FIRST FLOOR PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.10 - ROOF DETAILS.pdf,A-1.10 - ROOF DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.11 - ENTRY CANOPY DETAILS.pdf,A-1.11 - ENTRY CANOPY DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.2 - PARTIAL FIRST FLOOR PLAN AREA B.pdf,A-1.2 - PARTIAL FIRST FLOOR PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.3 - PARTIAL FIRST FLOOR PLAN AREA C.pdf,A-1.3 - PARTIAL FIRST FLOOR PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.4 - PARTIAL SECOND FLOOR PLAN AREA A.pdf,A-1.4 - PARTIAL SECOND FLOOR PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.5 - PARTIAL SECOND FLOOR PLAN AREA B.pdf,A-1.5 - PARTIAL SECOND FLOOR PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.6 - PARTIAL SECOND FLOOR PLAN AREA C.pdf,A-1.6 - PARTIAL SECOND FLOOR PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.7 - ROOF PLAN.pdf,A-1.7 - ROOF PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.8 - ROOF PLAN PHOTOVOLTAIC ARRAY.pdf,A-1.8 - ROOF PLAN PHOTOVOLTAIC ARRAY.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-1.9_03-13-2017_BID SET - DATE DESCRIPTION.pdf,A-1.9_03-13-2017_BID SET - DATE DESCRIPTION.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-2.1H - ELEVATIONS.pdf,A-2.1H - ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-2.2H - ELEVATIONS.pdf,A-2.2H - ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-2.3H - ELEVATIONS.pdf,A-2.3H - ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-2.4H - ELEVATIONS.pdf,A-2.4H - ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-3.1 - FINISH SCHEDULE.pdf,A-3.1 - FINISH SCHEDULE.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-3.2 - DOOR SCHEDULE.pdf,A-3.2 - DOOR SCHEDULE.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-3.20_03-13-2017_BID SET - DATE DESCRIPTION.pdf,A-3.20_03-13-2017_BID SET - DATE DESCRIPTION.pdf,.pdf,Drawing
"01 - Drawings\Architectural & Structural\A-3.3 - HEAD, SILL AND JAMB DETAILS.pdf","A-3.3 - HEAD, SILL AND JAMB DETAILS.pdf",.pdf,Drawing
01 - Drawings\Architectural & Structural\A-3.6 - FRAMING ELEVATIONS CURTAINWALL.pdf,A-3.6 - FRAMING ELEVATIONS CURTAINWALL.pdf,.pdf,Drawing
"01 - Drawings\Architectural & Structural\A-3.7 - FRAME ELEVATIONS HM, STOREFRONT AND LOUVERS.pdf","A-3.7 - FRAME ELEVATIONS HM, STOREFRONT AND LOUVERS.pdf",.pdf,Drawing
01 - Drawings\Architectural & Structural\A-3.8 - STOREFRONT DETAILS.pdf,A-3.8 - STOREFRONT DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.1 - BUILDING SECTIONS.pdf,A-4.1 - BUILDING SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.2 - BUILDING SECTIONS.pdf,A-4.2 - BUILDING SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.2a - BUILDING SECTIONS.pdf,A-4.2a - BUILDING SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.3 - WALL SECTIONS.pdf,A-4.3 - WALL SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.4 - WALL SECTIONS GYM & COMMUNITY AREA.pdf,A-4.4 - WALL SECTIONS GYM & COMMUNITY AREA.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.5 - WALL SECTIONS ENTRY VESTIBULE.pdf,A-4.5 - WALL SECTIONS ENTRY VESTIBULE.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.6 - WALL SECTIONS CORRIDOR AND VESTIBULE.pdf,A-4.6 - WALL SECTIONS CORRIDOR AND VESTIBULE.pdf,.pdf,Drawing
