DOOR_NO,ROOM,WIDTH,HEIGHT,THK,TYPE,DOOR_MATL,FRAME_MATL,FRAME_TYPE,JAMB,HEAD,SILL,DOOR_LABEL,FIRE_RATING,HARDWARE_SET,REMARKS
0001,STAIR 2,6'-0",7'-0",1 3/4",F,HM,HM,1,J11,H11,S2,60 MIN,60 MIN,321,
0001A,GEOTHERMAL PUMP ROOM,6'-0",7'-0",1 3/4",F,HM,HM,1,J1,H1,,,,321,
1000A,RECEPTION,3'-0",7'-0",1 3/4",HG,SCWD,HM,21,J1,H3,,,,414,"1, 24"
1000B,RECEPTION,3'-0",7'-0",1 3/4",HG,SCWD,HM,21,J1,H3,,,,414,"1, 24"
1000C,RECEPTION,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,,,,111,1
1001,A.P. OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1002,WORKROOM,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,110,
1003,CLOSET,6'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,810,
1004,CONFERENCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,110,
1005,SECURE STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,811,
1006,PRINCIPAL,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1007,FLEX OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1008,FLEX OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1009,STAFF TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,112,
1010,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,811,1
1011,LAUNDRY,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,717,
