RM_NO,NAME,COLOR_SCHEME,FLOOR,BASE,WALL_A,WALL_B,WALL_C,WALL_D,CLG_MATL,REMARKS
0001,GEOTHERMAL PUMP ROOM,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
001A,CORRIDOR,,,,,,,,,,
1000,RECEPTION,,BBT,RST,PTD,PTD,PTD,PTD,APC/GYP,
1001,A.P. OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1002,WORKROOM,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1003,CLOSET,,BBT,RST,PTD,PTD,PTD,PTD,GYP,
1004,CONFERENCE,,CPT,RST,PTD,PTD,PTD,PTD,APC3,
1005,SECURE STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1006,PRINCIPAL,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1007,FLEX OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1008,FLEX OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1009,STAFF TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1010,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1011,LAUNDRY,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1012,PERSONAL CARE,,PT,CT,CT,CT,CT,CT,GYP,"4, 15"
1100,WAITING,,BBT,RST,PTD,PTD,PTD,PTD,APC/GYP,
1101,STUDENT TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1102,HEALTH OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1102A,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1103,REST AREA,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1104,EXAM/TREATMENT,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1105,REST AREA,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1106,EXAM/TREATMENT,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1200,WAITING/RECEPTION,,BBT,RST,PTD,PTD,PTD,PTD,APC/GYP,
1201,CONFERENCE,,CPT,RST,PTD,PTD,PTD,PTD,APC3,
1202,HEAD END ROOM,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1203,RECORDS STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1204,SOCIAL WORKER,,CPT,RST,PTD,PTD,PTD,PTD,APC,
